,title,type,origin,note,rate
0,Gekijouban Violet Evergarden,Film,Light Novel,,
1,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Série TV,Light Novel,8.85,Très bon
2,Sword Art Online : Alicization - War of Underworld Part 2,Série TV,Light Novel,8.73,Très bon
3,The God of High School,Série TV,Manga,8.62,Très bon
4,Maou Gakuin no Futekigousha,Série TV,Light Novel,8.62,Très bon
5,Enen no Shouboutai : Ni no Shou,Série TV,Manga,8.59,Très bon
6,Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,Série TV,Light Novel,8.93,Très bon
7,"Kanojo, Okarishimasu",Série TV,Manga,8.14,Très bon
8,Deca-Dence,Série TV,Œuvre originale,8.25,Très bon
9,Given (Movie),Film,Manga,10.0,Très bon
10,"Omoi, Omoware, Furi, Furare",Film,Manga,,
11,Umibe no Étranger,Film,Manga,10.0,Très bon
12,Fate/stay night : Heaven's Feel III. spring song,Film,Visual Novel,9.55,Très bon
13,Uzaki-chan wa Asobitai!,Série TV,Manga,7.91,Bon
14,Nihon Chinbotsu 2020,ONA,Roman,7.73,Bon
15,Peter Grill to Kenja no Jikan,Série TV,Manga,6.56,Bon
16,Monster Musume no Oisha-san,Série TV,Light Novel,6.96,Bon
17,Koi to Producer : Evol x Love,Série TV,Jeu vidéo,8.58,Très bon
18,Dokyuu Hentai HxEros,Série TV,Manga,6.7,Bon
19,Boku no Hero Academia : Ikinokore! Kesshi no Survival Kunren,OAV,Manga,8.23,Très bon
20,Ore wo Suki nano wa Omae dake ka yo : Oretachi no Game Set,OAV,Light Novel,8.12,Très bon
21,Gibiate,Série TV,Œuvre originale,6.14,Bon
22,Date A Bullet : Dead or Bullet,Court-métrage,Light Novel,9.17,Très bon
23,Shingeki no Kyojin : Chronicle,Film,Non défini,8.78,Très bon
24,Aggressive Retsuko 3rd Season (ONA),ONA,Non défini,8.79,Très bon
25,No Guns Life 2nd Season,Série TV,Manga,8.29,Très bon
26,Kyojinzoku no Hanayome,Série TV,Manga,6.65,Bon
27,Lapis Re :LiGHTs,Série TV,Projet transmédia,7.44,Bon
28,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2,Série TV,Manga,7.33,Bon
29,"""Hataraku Saibou!!"" Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Ousawagi!",Film,Manga,10.0,Très bon
30,Mo Dao Zu Shi Q,ONA,Light Novel,10.0,Très bon
31,Murenase! Seton Gakuen Special,Spécial,Manga,7.29,Bon
32,Chuan Shu Zi Jiu Zhi Nan,ONA,Light Novel,10.0,Très bon
33,Wu Shan Wu Xing,ONA,Œuvre originale,9.54,Très bon
34,Min Diao Ju Yi Wen Lu,ONA,Roman,,
35,Ookami-san wa Taberaretai,Série TV,Manga,10.0,Très bon
36,Umayon,Série TV,Manga,6.7,Bon
37,Re :Zero kara Hajimeru Break Time 2nd Season,Série TV,Light Novel,7.89,Bon
38,Yi Nian Yong Heng,ONA,Light Novel,10.0,Très bon
39,Tian Bao Fuyao Lu,ONA,Light Novel,10.0,Très bon
40,Kuai Ba Wo Ge Dai Zou 4,ONA,Manga,,
41,Ninja Collection,Série TV,Œuvre originale,6.43,Bon
42,Dragon's Dogma,ONA,Jeu vidéo,,
43,22/7 Extra Episode,Spécial,Projet transmédia,,
44,You Yao,ONA,Roman,10.0,Très bon
45,Shi Zhi Ge - Hua Yu Yan De Kuang Xiang Shi,ONA,Non défini,,
46,Kabukichou Sherlock OVA,OAV,Œuvre originale,9.0,Très bon
47,Fan Ren Xiu Xian Chuan,ONA,Non défini,,
48,Nu Wu Shen De Can Zhuo II,ONA,Projet transmédia,,
49,Da Wang Bu Gao Xing 2,ONA,Manga,,
50,ARP Backstage Pass : Paradise,Spécial,Autre,8.67,Très bon
51,Kyoshin to Hyouka no Shiro,ONA,Œuvre originale,,
52,Shoujo☆Kageki Revue Starlight : Rondo Rondo Rondo,Film,Œuvre originale,7.0,Bon
53,Ling Long : INCARNATION 2,ONA,Œuvre originale,7.0,Bon
54,Chou Futsuu Toshi Kashiwa Densetsu R,Série TV,Non défini,,
55,Mei Chu Xi De Yin Yang Shi Yi Jia 2,ONA,Jeu vidéo,,
56,Liu Yi Chuan Qi,ONA,Non défini,,
57,Kouya no Kotobuki Hikoutai Kanzenhan,Film,Projet transmédia,,
58,Jing·Shuang Cheng,ONA,Light Novel,,
59,Yuan Long,ONA,Non défini,10.0,Très bon
60,Wu Dong Qian Kun 2,ONA,Light Novel,,
61,Doraemon Movie 40 : Nobita no Shin Kyouryuu,Film,Non défini,,
62,Yi Chang Sheng Wu Jian Wen Lu Te Bie Pian,Spécial,Non défini,9.0,Très bon
63,Da Hua Zhi,Court-métrage,Non défini,9.0,Très bon
64,Get Up! Get Live! #Geragera,Série TV,Non défini,,
65,Crayon Shin-chan Movie 28 : Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,Film,Manga,10.0,Très bon
66,Jintai no Survival!,Film,Manga,,
67,Douluo Dalu : Xing Dou Xian Ji,ONA,Light Novel,,
68,Ling Jian Zun 4,ONA,Roman,,
69,Lie Yang Tian Dao I,Film,Œuvre originale,,
70,Get Up! Get Live! #GeraGera Episode 0,ONA,Non défini,,
71,Ren Lei Bo Wu Guan,ONA,Non défini,,
72,Xian Feng Jian Yu Lu,ONA,Roman,,
73,Da Hua Zhi Shao Nian You,ONA,Non défini,,
74,Miao Qian Sui De Cheng Nian Li,ONA,Jeu vidéo,,
75,Wan Jie Xian Zong 4,ONA,Manga,,
76,Meng You Dun Huang,ONA,Non défini,,
77,Obake Zukan,Série TV,Livre d'image,5.0,Nul
78,Xi Yang Yang Yu Hui Tai Lang Zhi Yang Yang Qu Mao Xian,Série TV,Non défini,,
79,San San De E Zuo Ju Chu Fang,ONA,Non défini,,
80,Tadaima! Chibi Godzilla,ONA,Non défini,,
81,Kamen Rider Zero-One : Short Anime - Everyone's Daily Life,ONA,Non défini,,
82,Xiong Tu Zi Bei Bei,Série TV,Non défini,,
83,Qing Chi Hong Xiao Dou Ba! 4,ONA,Œuvre originale,,
84,Ta Ta Tu Ran Xiang Dao,ONA,Non défini,,
85,Da Tang Di Ling,ONA,Non défini,,
86,Shu Ke Bei Ta 2,Série TV,Non défini,,
87,One Piece,Série TV,Manga,8.84,Très bon
88,Black Clover (TV),Série TV,Manga,7.83,Bon
89,Boruto - Naruto Next Generations,Série TV,Manga,7.14,Bon
90,Detective Conan,Série TV,Manga,8.81,Très bon
91,Fruits Basket 2nd Season,Série TV,Manga,9.22,Très bon
92,Fugou Keiji Balance : Unlimited,Série TV,Roman,8.68,Très bon
93,Shokugeki no Souma : Gou no Sara,Série TV,Manga,8.43,Très bon
94,Ahiru no Sora,Série TV,Manga,8.69,Très bon
95,Great Pretender,Série TV,Œuvre originale,8.89,Très bon
96,Toaru Kagaku no Railgun T,Série TV,Manga,9.28,Très bon
97,Appare-Ranman!,Série TV,Œuvre originale,8.32,Très bon
